# A = instruction type, OP = opcode, FC = function code
#instruction types
# R = Reg2Reg2Reg, I = I-type Imm, S = S-type Imm, J = Jump, IO = input/output
#A	OP	FC	Instruction
I	10	NA	addi
I	11	NA	addiu
I	12	NA	subi
I	13	NA	subiu
I	14	NA	muli
I	15	NA	muliu
I	16	NA	divi
I	17	NA	diviu
S	20	NA	jeq
S	21	NA	jne
S	22	NA	jgt
S	23	NA	jlt
S	24	NA	jle
S	27	NA	sw
S	30	NA	lw
S	31	NA	lnw
S	32	NA	lwi
I	33	NA	lui
I	34	NA	ori
I	35	NA	xori
I	36	NA	nori
I	37	NA	andi
S	38	NA	la
S	39	NA	sa
S	3A	NA	ands
S	06	NA	j
S	07	NA	jal
J	08	NA	halt
R	01	18	mul
R	01	19	muli
R	01	20	add
R	01	21	addu
R	01	22	sub
R	01	23	subu
R	01	1A	div
R	01	1B	divu
R	01	1C	pwr
R	02	00	sll
R	02	02	srl
R	02	03	sra
R	02	24	and
R	02	25	or
R	02	26	xor
R	02	27	nor
R	03	08	jr
I	3D	NA	srv
R	3F	NA	dump
IO	0A	NA	inn
IO	0B	NA	inc
IO	0C	NA	outn
IO	0D	NA	outc
IO	1E	NA	outni
IO	1F	NA	outci
S	1A	NA	adds
S	1B	NA	subs
S	1C	NA	muls
S	1D	NA	divs
